MAV 001,MAV 002,MAV 003,MAV 004,avgDistLeader,avgDist
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1098.69,686.656
0,0,0,0,1098.69,686.342
0,0,0,0,1100.06,687.102
0,0,0,0,1093.46,684.25
0,0,0,0,1078.09,676.224
0,0,0,0,1065.29,671.687
0,0,0,0,1047.5,664.406
0,0,0,0,1022.4,654.496
0,0,0,0,990.502,643.635
0,0,0,0,955.817,628.813
0,0,0,0,897.732,602.847
0,0,0,0,869.399,589.264
0,0,2,0,821.869,567.213
0,0,0,0,778.44,547.37
0,0,1,0,733.059,523.907
0,0,1,0,695.346,498.468
0,0,1,0,683.358,483.672
0,0,0,0,673.94,465.732
0,0,0,0,660.491,443.746
0,0,0,0,652.804,423.145
0,0,0,0,643.359,402.713
0,0,0,1,639.062,383.469
0,0,0,1,651.626,368.052
0,0,0,1,686.431,359.624
0,0,0,0,727.029,353.156
0,0,0,0,766.603,347.263
0,0,0,0,805.122,340.773
0,0,0,0,839.265,333.268
0,0,0,0,869.951,325.709
0,0,0,0,893.513,317.052
0,0,0,0,916.544,309.142
0,0,0,0,931.825,299.274
0,0,0,0,945.818,291.618
0,2,0,2,956,284.603
0,2,0,2,963.274,278.144
0,0,2,2,971.684,273.685
0,0,2,2,994.38,277.445
0,0,2,2,998.12,285.357
0,0,0,2,1018.95,299.051
0,0,0,0,1031.27,313.779
0,0,0,0,1041.9,327.76
0,0,0,0,1046.88,340.216
0,0,0,0,1041.19,349.569
0,0,0,0,1037.02,357.721
0,0,0,0,1025.45,366.02
0,0,0,0,1011.2,369.403
0,0,0,0,995.877,371.169
0,0,0,0,975.078,368.719
0,0,0,0,964.609,370.332
0,0,0,0,940.468,366.895
0,0,0,0,902.86,362.991
0,0,0,0,887.95,357.089
0,0,0,0,862.341,351.12
0,0,0,0,832.457,344.142
0,0,0,0,804.371,335.937
0,0,0,0,776.246,328.448
0,0,0,0,742.183,317.933
0,0,0,0,711.125,310.869
0,0,0,0,683.645,299.516
0,0,0,0,645.728,288.358
0,0,0,0,631.041,283.408
0,0,0,0,599.004,274.055
0,0,0,0,575.215,266.442
0,0,0,0,559.567,262.038
0,0,0,0,533.337,254
0,1,0,0,508.033,247.315
0,1,0,0,484.581,238.72
0,1,0,0,460.871,229.737
0,1,0,0,435.145,218.237
0,1,0,0,405.171,204.977
0,1,0,0,388.227,195.198
0,1,0,0,354.497,182.006
0,1,2,0,333.42,170.374
0,1,2,0,310.431,158.613
0,1,2,0,292.858,147.385
0,1,2,0,280.366,135.406
0,1,2,0,259.062,124.101
0,1,0,0,253.879,118.159
0,1,0,0,251.118,110.903
0,1,0,0,242.242,103.284
0,1,2,0,236.321,97.7215
0,1,0,0,227.569,91.2264
0,1,0,2,224.725,85.8391
0,1,0,2,219.477,85.2196
0,1,0,2,224.132,83.8578
0,1,2,0,224.895,84.3018
0,1,0,0,223.332,84.999
0,1,2,2,224.786,85.0481
0,1,0,0,225.412,84.1091
0,1,0,0,226.712,83.9911
0,1,0,0,225.83,84.4141
0,1,2,0,231.454,85.1823
0,1,2,0,220.45,81.7623
0,1,0,2,225.928,81.4097
0,1,2,2,224.157,79.9604
0,1,0,2,222.028,79.444
0,1,0,0,222.713,80.073
0,1,2,0,222.704,80.503
0,1,0,2,218.864,78.9964
0,1,0,2,216.853,79.5652
0,1,2,0,213.499,78.1262
0,1,0,0,216.617,80.4862
0,1,2,2,221.629,79.7066
0,1,0,2,212.618,77.2258
0,1,0,2,217.958,80.1677
0,1,2,0,215.708,79.2763
0,1,2,0,225.008,81.3922
0,1,0,2,224.682,81.1706
0,1,0,2,225.371,81.1435
0,1,2,2,227.316,81.954
0,1,2,0,228.154,83.3136
0,1,0,2,227.369,82.7392
0,1,2,2,227.046,82.5142
0,1,2,2,223.092,81.7172
0,1,2,2,220.045,81.7907
0,1,2,2,218.389,81.4882
0,1,0,0,217.904,81.0706
0,1,0,2,217.715,81.0475
0,1,2,0,212.871,78.5499
0,1,0,0,213.234,78.7782
0,1,2,0,209.318,77.7956
0,1,2,2,214.492,77.9134
0,1,2,2,211.649,76.2176
0,1,0,0,203.248,74.8956
0,1,2,0,208.854,75.2958
0,1,1,0,204.573,73.9771
0,2,1,2,201.158,72.1113
0,2,2,0,196.708,71.2279
0,2,1,0,195.597,70.7851
0,2,1,2,199.355,69.3544
0,2,1,2,193.986,68.996
0,2,1,2,202.636,69.8023
0,0,1,2,197.105,69.1439
0,0,1,0,198.031,69.6976
0,0,1,0,208.439,72.1786
0,2,1,0,193.959,69.0463
0,2,1,2,199.307,68.4066
0,0,1,2,199.007,67.9376
0,0,1,0,199.415,68.614
0,2,1,0,196.707,68.1493
0,2,1,2,190.845,65.4257
0,2,1,2,187.75,65.4598
0,1,1,2,184.574,65.2587
0,0,1,0,187.354,66.7101
0,0,1,2,186.494,67.0002
0,1,1,2,181.893,65.5024
0,1,1,0,178.296,63.3819
0,1,1,0,178.739,63.9857
0,1,1,0,188.763,66.6781
0,0,1,2,192.11,67.7747
0,0,1,2,193.944,69.0356
0,0,1,0,196.991,70.6524
0,0,1,2,190.578,70.1191
0,0,1,2,188.865,68.4344
0,1,1,2,172.564,64.2459
0,1,1,0,178.545,66.6907
0,1,1,2,172.244,64.6254
0,1,1,2,176.859,67.2942
0,1,1,2,183.814,68.9471
0,1,1,0,183.502,70.3348
0,0,1,0,187.344,71.6115
0,0,1,2,183.561,69.8736
0,0,1,2,181.501,69.6816
0,0,1,0,181.901,70.4418
0,1,1,0,186.577,72.4023
0,1,1,2,185.059,71.8466
0,1,1,0,183.912,71.5261
0,1,1,2,185.009,71.9564
0,1,1,0,186.927,72.4785
0,1,1,0,189.255,73.72
0,0,1,2,188.569,74.7889
0,0,1,2,188.542,75.1783
0,0,1,0,186.465,75.521
0,0,1,2,182.375,74.6395
0,1,1,2,177.127,73.3016
0,1,1,2,171.911,70.6856
0,1,1,0,170.874,71.1188
0,1,1,0,177.834,74.8777
0,1,1,0,183.337,74.8763
0,1,1,2,178.693,74.7118
0,1,1,0,185.292,74.8652
0,1,1,0,180.945,75.2549
0,1,1,2,187.718,75.5786
0,0,1,0,190.602,76.914
0,0,1,2,186.176,76.6187
0,1,1,0,181.369,75.6324
0,1,1,0,177.428,75.3094
0,1,1,0,174.358,74.9797
0,1,1,0,173.891,73.1515
0,1,1,2,166.158,70.9083
0,1,1,0,166.181,70.95
0,1,1,2,175.343,73.2969
0,1,1,2,176.969,73.7036
